Kode Barang,Nama Barang,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
RK-DHP20,Dunhill Putih 20,60,60,60,80,80,60,80,80
RK-DHH16,Dunhill Hitam 16,60,40,60,40,50,50,50,60
RK-CGR,Cigarillos,40,40,50,60,50,40,40,70
RK-ESJ20,Esse Juicy 20,140,140,140,160,130,140,180,180
RK-ESJ16,Esse Juicy 16,60,60,60,80,80,60,80,80
RK-ESC20,Esse Change 20,140,140,140,160,130,140,180,180
RK-ESC16,Esse Change 16,60,60,60,80,80,60,80,80
RK-ESD20,Esse Double 20,140,140,140,160,130,140,180,180
RK-ESD16,Esse Double 16,60,60,60,80,80,60,80,80
RK-DJBL,Djarum Black ,140,140,140,160,130,140,180,180
RK-DJBLC,Djarum Black Cappucino,60,40,60,40,50,50,50,60
RK-DJS16,Djarum Super 16,40,40,50,60,50,40,40,70
RK-DJS12,Djarum Super 12,20,20,20,20,20,40,40,40
RK-GGSH,Gudang Garam Signatur Hitam,60,40,60,40,50,50,50,60
RK-MBIC,Marlboro ice Burst,40,40,50,60,50,40,40,70
RK-MBMH,Marlboro Merah,180,180,200,180,200,200,200,240
RK-MBPT,Marlboro Putih,180,180,200,180,200,200,200,240
RK-MBFB12,Marlboro Filter Black 12,140,140,140,160,130,140,180,180
RK-MBFB16,Marlboro Filter Black 16,40,40,50,60,50,40,40,70
RK-MBFB20,Marlboro Filter Black 20,80,60,90,100,80,80,80,120
RK-CMACT,Camel Aktivate,60,60,60,80,80,60,80,80
RK-CMWH,Camel White,140,150,130,130,140,140,150,200
RK-CMYL,Camel yellow,140,140,140,140,140,140,150,180
RK-LKCL,Lucky Cool,40,40,50,60,50,40,40,70
RK-LKMH,Lucky Merah,80,60,90,100,80,80,80,120
RK-LABL12,La Bold 12,60,60,60,80,80,60,80,80
RK-LAbL16,La Bold 16,40,40,40,50,50,50,60,60
RK-LABL20,La Bold 20,80,60,90,100,80,80,80,120
RK-MBKRT,Marlboro Kretek,140,140,140,160,130,140,180,180
RK-COMD,Commodore,180,180,200,180,200,200,200,240
RK-BULL,Bull,80,60,90,100,80,80,80,120
RK-ZG12,Ziga 12,180,180,200,180,200,200,200,240
RK-ZGKRT,Ziga Kretek,60,60,60,80,80,60,80,80
RK-CHF,Chief,180,180,200,180,200,200,200,240
RK-MZ12,Moza 12,180,180,200,180,200,200,200,240
RK-MZ16,Moza 16,80,80,100,100,80,100,100,120
RK-INKRT,In Kretek,140,140,140,160,130,140,180,180
RK-LNT6,Lintang 6,160,160,160,180,180,180,200,200
RK-RVN,Raven,80,60,90,100,80,80,80,120
RK-INST,Insta,180,180,200,180,200,200,200,240
RK-ACCS,Access,180,180,200,180,200,200,200,240
RK-PNMK12,Panama kuning 12,140,140,140,160,130,140,180,180
RK-PNMk16,Panama kuning 16,60,60,60,80,80,60,80,80
RK-PNMPT,Panama Putih,60,60,60,70,80,60,80,70
RK-WNF20,Win Filter 20,140,160,160,180,150,160,160,180
RK-WNF12,Win Filter 12,140,140,140,160,130,140,180,180
MG-IDMOR,Indomie Goreng Original,240,280,280,280,320,320,320,360
MG-IDMAC,Indomie Goreng Aceh,200,200,240,240,240,240,280,280
MG-IDMJB,Indomie Goreng Jumbo,320,320,360,360,360,400,400,400
MG-IDMAG,Indomie Goreng Ayam Geprek,160,160,160,120,120,160,120,120
MG-IDMKR,Indomie Goreng Kriuk,120,120,120,160,160,160,160,160
MR-IDMKA,Indomie Kuah Kari Ayam,400,400,400,360,360,400,400,400
MR-IDMSP,Indomie Kuah Soto Padang,240,280,280,280,320,320,320,360
MR-SPRAB,Supermie Ayam Bawang,160,160,160,120,120,160,120,120
MR-SPRAP,Supermie Semur Ayam Pedas,160,160,160,120,120,160,120,120
MR-SDPST,Mie Sedap Rasa Soto,160,160,160,120,120,120,120,160
MR-SDPKA,Mie Sedap Rasa Kari ayam,200,200,240,160,160,240,160,240
MG-SDPGR,Mie Sedap Goreng,240,280,280,280,320,320,320,360
MR-SDPKR,Mie Sedap Korean Spicy Chicken,120,120,120,160,160,160,120,200
MR-SKSAB,Mie Sukses Rasa Ayam Bawang,120,120,160,160,160,160,200,200
MR-SKSKA,Mie Sukses  Rasa Kari Ayam,200,200,240,240,160,240,240,200
MR-SKSST,Mie Sukses Rasa Soto,160,160,160,120,120,160,120,120
MR-SKSKR,Mie Sukses Rasa Ayam Kremes,240,240,240,160,160,240,160,240
MR-SKSKC,Mie Sukses Rasa Ayam Kecap,120,120,160,160,160,160,200,200
MR-SRMKS,Mie Sarimi Rasa Kari Spesial,200,200,240,160,160,240,160,240
MR-SRMST,Mie Sarimi Rasa Soto,160,160,160,120,120,160,120,120
MR-SRMKR,Mie Sarimi Rasa Ayam Kremes,120,120,160,160,160,160,200,200
MR-SRMKC,Mie Sarimi Rasa Ayam Kecap,160,160,160,120,120,160,120,120
